Username,Date,source,Comment,processed_comment,word_count,comment_length,dominant_topic,topic_label_short,topic_label,dominant_topic_probability,confidence_cat
@Haraza82,2025-12-17 04:52:33+00:00,Merdeka,"MBG dari sppg tlumpu Sukorejo kota Blitar Jawa Timur mulai tgl 15 desember 2025 diliburkan sampai waktu yg tidak ditentukan karna dana dari pemerintah belum cair... laporan dana sudah terserap,terserap dimana..Pak Purbaya tolong di kroscek..",sppg tlumpu sukorejo kota blitar jawa timur tanggal 15 desember 2025 libur waktu tentu dana perintah cair lapor dana serap serap purbaya mohon bantu kroscek,35,241,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.521738291,Rendah (<0.60)
@ekasovianingrum6074,2025-12-17 02:52:27+00:00,Merdeka,"Asal bapk senang  ,  buktinya harga yg BGN kasih k umkm jauh dr kt wajar,  masa roti abon d hargain 1500 .  UMKM menjerit pa pres",asal bapk senang bukti harga bgn k umkm jauh kt wajar masa roti abon d hargain 1500 umkm jerit pa pres,26,129,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.934990525,Tinggi (≥0.80)
@philipsilaban3621,2025-12-17 01:30:02+00:00,Merdeka,BGN.... Menjadi MBG..... 1200T / hari.,bgn jadi 1200t hari,6,38,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.804458559,Tinggi (≥0.80)
@MuhammadZein-f5f,2025-12-17 01:16:35+00:00,Merdeka,Mending sppg tutup aja pak Prabowo terlalu banyak korupsi sppg daerah tidak sesuai,lebih baik sppg prabowo terlalu banyak korupsi sppg daerah sesuai,13,82,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.903137803,Tinggi (≥0.80)
@Sunefosenefo,2025-12-17 00:54:14+00:00,Merdeka,Tolong dibuka Kotak Pos Pengaduan BGN yg BPK Periksa langsung. Biar Ortu yg kirim Laporan langsung,mohon bantu buka kotak pos adu bgn bpk periksa langsung biar orang tua kirim lapor langsung,16,98,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.734246731,Sedang (0.60–0.80)
@Sunefosenefo,2025-12-17 00:51:05+00:00,Merdeka,Tolong Audit Dana Desa dan BGN secara menyeluruh. Hidupkan BPD yg melibatkan Masyarakat.Kritis.!!!,mohon bantu audit dana desa bgn seluruh hidup bpd libat masyarakat kritis,13,98,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.933845222,Tinggi (≥0.80)
@sutanpurnama6915,2025-12-17 00:13:27+00:00,Merdeka,"Usul, barangkali ada yang minat membuat konten YouTube  memfoto dan memvideo  menu MBG setiap hari tanpa putus di sekolahnya, kemudian di viralkan...
Barangkali bisa jadi langkah untuk monitoring terhadap menu dan gizi makanan yang di sajikan untuk anak anak kita...",usul barangkali minat buat konten youtube foto video menu hari putus sekolah kemudian viralkan barangkali langkah monitoring menu gizi makan saji anak anak,40,266,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.574036539,Rendah (<0.60)
@RTA-j5k,2025-12-16 23:23:42+00:00,Merdeka,"Presiden sebaiknya memerintahkan Komdigi utk membuat sistem IT yang memperlihatkan semua alur operasional dan alur pembiayaan program MBG , lengkap dengan nama2 pihak2 yang terlibat dalam kegiatan MBG sehingga setiap saat dapat dipantau oleh semua pihak terkait dan masyarakat",presiden baik perintah komdigi buat sistem teknologi informasi lihat semua alur operasional alur biaya program lengkap nama2 pihak2 libat giat pantau semua pihak kait masyarakat,39,276,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.907584488,Tinggi (≥0.80)
@NanikAstutifujianti,2025-12-16 23:15:37+00:00,Merdeka,Pak disekolah sy smskli GK prnh mkn lele aplgi daging sapi. Ikan nilax aja cmn sepotong dksh.,seko smskli prnh makan ikan lele aplgi daging sapi ikan nilax cmn potong dksh,17,93,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.933886468,Tinggi (≥0.80)
@khlazzk4,2025-12-16 21:00:33+00:00,Merdeka,"Astagfirullahaladzim banyak BOHONGNYA omongan ini orang coba cek langsung KELAPANGAN menu MBG ke SDN di kota Bekasi Jawa Barat, juga untuk menjadi TENAGA KERJAnya tidak TRANSPARAN, percuma semua di DETAILKAN di sini karena tidak akan diRespon",astagfirullahaladzim banyak bohong omong orang coba periksa langsung lapang menu sdn kota bekas jawa barat jadi tenaga kerja transparan percuma semua detail sini direspon,36,242,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.574742556,Rendah (<0.60)
@SitiAisyah-lz3qz,2025-12-16 18:51:10+00:00,Merdeka,"Bohong mna ada daging menu  ,BPK Prabowo byk di bohongi Ama Mentri 2 🇮🇩 kasihan kali lh Prabowo menjadi persiden,",bohong mna daging menu bpk prabowo banyak bohong tri 2 kasihan kali lh prabowo jadi persiden,20,113,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.660607159,Sedang (0.60–0.80)
@mecariberkah-t8t,2025-12-16 18:09:17+00:00,Merdeka,"Program MBG bagus,tapi dalam pengelolaannya hanya jadi lahan korupsi,dan keutungan besar para oknum pejabat dan keluarganya",program bagus kelola lahan korupsi keutungan besar oknum jabat keluarga,16,123,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.579116523,Rendah (<0.60)
@MarkoKomar-lu3dy,2025-12-16 16:33:13+00:00,Merdeka,LAMPUNG ??? Perlu Ditelusuri Betul2 Untuk Provinsi Lampung Untuk SPPG Karena Di Kabupaten Saya Belum terlihat Hilalnya!!! Fiktif Jangan2,lampung perlu telusur betul2 provinsi lampung sppg kabupaten nampak hilal fiktif jangan2,19,136,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.935450077,Tinggi (≥0.80)
@zaidananaotiti,2025-12-16 15:00:34+00:00,Merdeka,Bohong......semua laporannya.tidak sesuai Deng an lauk Pauk nya pak.,bohong semua lapor sesuai deng buah lauk pauk,9,68,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.717300773,Sedang (0.60–0.80)
@onesetiawan3761,2025-12-16 14:56:26+00:00,Merdeka,DiKadali sama kepala MBG prabowo percaya.,kadal kepala prabowo percaya,6,41,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.53126514,Rendah (<0.60)
@indrawijaya2538,2025-12-16 12:57:53+00:00,Merdeka,"Apa yg bisa di notice dari MBG,terus ahli gizi dari amerika datang",notice terus pakar gizi amerika datang,12,66,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.865222752,Tinggi (≥0.80)
@JarnawiBukhari,2025-12-16 12:43:15+00:00,Merdeka,"Program yg lebih byk mudharatnya, cuma bocah""beruban tsb tak ada yg berani bantah terhadap kebijakan presiden yg salah tsb..penjilat semua asal bpk senang..",program lebih banyak mudharatnya bocah uban tsb tak berani bantah atur presiden salah tsb jilat semua asal bpk senang,23,156,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.958649337,Tinggi (≥0.80)
@MNur-u7m,2025-12-16 10:54:49+00:00,Merdeka,BGN  hrs trs lanjut karna ini janji kapanye.trs perketat ke uangan karna klo urusan mkn uang nya besar 4 th dana nya bsa tuk beli jkt dan seisinya.,bgn terus lanjut janji kapanye terus ketat uang urus makan uang besar 4 th dana beli jkt isi,28,147,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.531793535,Rendah (<0.60)
@nunungpancasetyarini613,2025-12-16 10:05:53+00:00,Merdeka,PUJI TUHAN...semoga program mbg ini bisa berlangsung terus...selain bermanfaat buat anak2.ibu hamil dan menyusui..juga bermanfaat untuk masyarakat yg punya budidaya sayur2an maupun peternakan...sukses terus BGN..,puji tuhan moga program langsung terus manfaat buat anak2 ibu hamil susu manfaat masyarakat punya budidaya sayur2an maupun terna sukses terus bgn,25,212,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.416425765,Rendah (<0.60)
@BromoFfoe,2025-12-16 07:52:18+00:00,Merdeka,Cuma roti sama nasi kuning,roti nasi kuning,5,26,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.809799373,Tinggi (≥0.80)
@choirulchoirul7859,2025-12-16 07:02:32+00:00,Merdeka,apa MBG hanya untuk sekolah negeri..?,sekolah negeri,6,37,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.740817785,Sedang (0.60–0.80)
@AnastasiaHerlina-l8c,2025-12-16 06:16:53+00:00,Merdeka,"MBG itu lebih baik di alokasikan ke kebutuhan seragam dan kebutuhan alat2 sekolah, itu lebih bermanfaat,kalau MBG itu berakhir di septiktank tapi kalau seragam dan alat sekolah bisa dipakai dlm jangka panjang.",lebih baik alokasi butuh seragam butuh alat2 sekolah lebih manfaat akhir septiktank seragam alat sekolah pakai jangka lama,32,209,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.395518154,Rendah (<0.60)
@AnastasiaHerlina-l8c,2025-12-16 06:11:58+00:00,Merdeka,"Memang BGN sangat tdk layak dikonsumsi anak2tk,SD di daerah2, masak dan menunya asal2an.",memang bgn sangat layak konsumsi anak2tk sd daerah2 masak menu asal2an,13,88,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.475637913,Rendah (<0.60)
@sofygaruda8664,2025-12-16 05:31:56+00:00,Merdeka,Klo nasi goreng sam telor gk usah MBG MBG aan oak presiden masyrkt yg kalangan bawah pun mampu..hitung aja telor sati bini berpaa.beras beras dlam satu piring Untung banyak anak buah nya bapak ini bapak cek ini...bocor besar itu pam presiden,nasi goreng sam telur perlu aan oak presiden masyrkt golong bawah hitung telur sat bini berpaa beras beras dlam satu piring untung banyak anak buah periksa bocor besar pam presiden,41,241,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.469241709,Rendah (<0.60)
@did-ai3617,2025-12-16 05:26:03+00:00,Merdeka,hah? makan 1 lele?,hah makan 1 ikan lele,4,18,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.841928184,Tinggi (≥0.80)
@noefirman7514,2025-12-16 04:37:51+00:00,Merdeka,"MBG ga akan sustain klo ""maen-maen"" kayak gini terus..",sustain main main gin terus,9,54,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.864848912,Tinggi (≥0.80)
@Subiyakto-l9u,2025-12-16 04:25:50+00:00,Merdeka,ayo dukung MBG ...bravo pak prabowo..,ayo dukung bravo prabowo,6,37,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.847345293,Tinggi (≥0.80)
@iyarkustiar123A,2025-12-16 04:19:25+00:00,Merdeka,"Kenapa di daerah saya,,ikan nila tidak bisa masuk ke menu MBG ya,?,aneh.padahal ikan juga termasuk produk ketahanan pangan.alasannya harga nya tidak masuk,kemahalan, bukannya anggaran nya dari negara?,jangan2 nyari untung yg lebih, tolong pa presiden, mohon dikaji ulang,mengingat menu mbg yg sy liat,,daging ayam terus,telor terus.ikan malah blm pernah saya lihat di menu mbg.",daerah ikan nila masuk menu aneh padahal ikan masuk produk tahan pangan alas harga masuk mahal bukan anggar negara jangan2 cari untung lebih mohon bantu pa presiden mohon kaji ulang ingat menu lihat daging ayam terus telur terus ikan malah pernah lihat menu,53,377,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.485176444,Rendah (<0.60)
@istiqomah751,2025-12-16 04:06:26+00:00,Merdeka,MBG  belum berguna dan belum menyentuh akar masalh sesunhguhnya....malah  tempat korupsi .dan MBG tidak menumbuhkan UMKM krn mbg hanya di kuasai orang2  yg dekat dengan kekuasaan....evaluasi lahi mbg krn tiada guna habis2in anggaran..rakyat yg dilanda bencana lebih butuh...,guna sentuh akar masalh sesunhguhnya malah tempat korupsi tumbuh umkm kuasa orang2 dekat kuasa evaluasi lah tiada habis2in anggar rakyat landa bencana lebih butuh,38,274,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.965843916,Tinggi (≥0.80)
@abdulgofur123,2025-12-16 03:56:17+00:00,Merdeka,Daging nya jangan Sampay diselewengkan,daging jangan sampay seleweng,5,38,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.797740281,Sedang (0.60–0.80)
@riduanpakpahan4840,2025-12-16 03:50:45+00:00,Merdeka,Hanya kuantitas yang ditonjolkan,kuantitas tonjol,4,32,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.748033226,Sedang (0.60–0.80)
@DaseSupendi,2025-12-16 03:43:42+00:00,Merdeka,Bgn. Harus nya di berikan pada murid org tua nya miskin aja.,bgn ikan murid org tua miskin,12,60,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.886094272,Tinggi (≥0.80)
@khafidzanwar,2025-12-16 03:33:14+00:00,Merdeka,Ko tidak mencerminkan kondisi di SPPG pada umumnya ???,cermin kondisi sppg umum,9,54,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.830963731,Tinggi (≥0.80)
@DwiMulyatmi,2025-12-16 03:32:20+00:00,Merdeka,"Nasi goreng telor ceplok itu ya Podo Karo sarapane si miskin di rumah.
Yooh, ya bangeten lah...",nasi goreng telur ceplok podo karo sarapane miskin rumah yooh bangeten,17,95,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.915328681,Tinggi (≥0.80)
@novinara9971,2025-12-16 03:06:29+00:00,Merdeka,Pembagian BGN utk Balita di bagikan dengan kader di desa” dibungkus dengan plastik biasa. Apakah SOP nya memang begitu ya?,bagi bgn balita bagi kader desa bungkus plastik lumrah sop memang,20,122,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.57966125,Rendah (<0.60)
@naufalpamer2kali829,2025-12-16 02:54:32+00:00,Merdeka,Ngga pernah ada lele pak di makanannya cuman mi telor ngga pernah ada ayam juga bapak itu bohong pak presiden soalnya aku punya anak dapat mbg itu bohong,pernah ikan lele makan mi telur pernah ayam bohong presiden soal punya anak bohong,28,153,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.5340904,Rendah (<0.60)
@naufalpamer2kali829,2025-12-16 02:48:52+00:00,Merdeka,"Makanan mbg ngga penting lagian makanannya ngga layak buang"" angaran aja pending angaranya buat nurunin bahan pokok itu penting buat masarakat kecil bahan pokok imahal semua mana mentri perdagangan nya saya seorang ibu menjerit apa aja mahal",makan penting lagi makan layak buang anggar pending angaranya buat nurunin bahan pokok penting buat masarakat kecil bahan pokok imahal semua tri dagang orang ibu jerit mahal,37,241,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.442088693,Rendah (<0.60)
@Hobipedas90,2025-12-16 02:33:41+00:00,Merdeka,"Laporan hoax
Di mataram lombok NTB ga setiap hari makan buah,susu juga ga tiap hari di kasi,,,,
Palsu semoa laporan nya",lapor hoax mataram lombok ntb hari makan buah susu tiap hari palsu moa lapor,21,119,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.728834629,Sedang (0.60–0.80)
@akbartempeh4723,2025-12-16 02:30:56+00:00,Merdeka,"Alhamdulilah desil 1 gak pernah dapat PKH BPNT, anak  saya dapat MBG.",alhamdulilah desil 1 pernah pkh bpnt anak,12,69,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.886966407,Tinggi (≥0.80)
@sandinurwahid-b5d,2025-12-16 02:27:48+00:00,Merdeka,"bicara depan presiden begini.. fakta nya miris woeyy... cek dong ke level bawah, kadang2 w pengen jadi intel kabinet merah putih yg di tugaskan di daerah2 untuk melihat sesuatu program itu berjalan & tidak nyaa... jengkel lihat nya",bicara depan presiden begini fakta miris woeyy periksa level bawah kadang2 w intel kabinet merah putih tugas daerah2 lihat program jalan nyaa jengkel lihat,38,231,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.626815736,Sedang (0.60–0.80)
@Petani_kebumen,2025-12-16 02:23:38+00:00,Merdeka,"Satu ekor lele, tapi seukuran kecebong,, coba bapak sering sidak",satu ekor ikan lele ukur kecebong coba sering sidak,10,64,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.912402213,Tinggi (≥0.80)
@budirahmat2868,2025-12-16 02:23:24+00:00,Merdeka,"System rekrutmen pegawai MBG harus di monotoring Evaluasi kembali lakukan ujian test dengan ketat, jangan mentang2 orang terdekat bisa diloloskan saja tanpa kompetensinya.",system rekrutmen pegawai monotoring evaluasi laku uji test ketat jangan mentang2 orang dekat lolos kompetensi,23,171,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.946071804,Tinggi (≥0.80)
