slang,baku
skul,sekolah
sekolah,sekolah
sekolh,sekolah
seleweng,menyelewengkan
suplayer,supplier
suplier,supplier
susah,susah
telor,telur
trs,terus
trus,terus
terus,terus
udah,sudah
udeh,sudah
udh,sudah
uda,sudah
dah,sudah
dh,sudah
sdah,sudah
sdh,sudah
usah,perlu
waras,waras
warteg,warung
wkwk,tertawa
wkwkw,tertawa
wkwkwk,tertawa
wkwkwkwk,tertawa
wkwkwkwkwk,tertawa
wkwkw,tertawa
wkwkwkw,tertawa
wkwkawkawkwa,tertawa
akwkwkwkwk,tertawa
haha,tertawa
hahaha,tertawa
hahah,tertawa
hahahhahahha,tertawa
hehe,hehe
hehhee,hehe
heu,hehe
xixixixi,tertawa
xixxi,tertawa
xixi,tertawa
lol,tertawa
wkw,tertawa
wok,tertawa
awikwok,tertawa
wkwk,tertawa
hikzzz,sedih
hikssssss,sedih
huhuhu,sedih
huhuu,menangis
1rb,1000
5rb,5000
10rb,10000
15rb,15000
20rb,20000
500rb,500000
1jt,1000000
1m,1000000
3t,3000000000000
jt,juta
rb,ribu
mlrd,miliar
triliun,triliun
trilyun,triliun
milyar,miliar
milyaran,miliaran
trilyunan,triliunan
mhh,hmm
sepi,sunyi
panjang,lama
kaga,tidak
speechless,terdiam
mampu,bisa
ribet,rumit
do,melakukan
nii,ini
working,bekerja
leluhur,nenek moyang
tolol,bodoh
bukannya,bukan
youuu,kamu
hadiah,penghargaan
bermotor,mengendarai motor
seenggaknya,setidaknya
jerigen,wadah air
pilpres,pemilu presiden
maunya,inginnya
waduh,aduh
penganut,pengikut
bunda,ibu
mitos,cerita rakyat
kontrak,perjanjian
parte,pesta
back,kembali
temennya,temannya
familiar,akrab
buruan,cepat
mbaknya,kakaknya
terancam,dalam bahaya
plot,alur
ngimpinya,bermimpinya
gweh,saya
peminat,penggemar
toxic,beracun
yallah,ya Allah
laper,lapar
bismillah,dengan nama Allah
mempraktekkan,menerapkan
currently,saat ini
desir,hembusan
welas,kasih
hufttt,sigh
kebun,ladang
sak,karung
macem,macam
you,kamu
peraturannya,aturan itu
mempertimbangkan,menimbang
cerah,terang
kanji,tepung kanji
batu,kerikil
casn,calon aparatur sipil negara
nasib,takdir
hadiahnya,hadiah itu
thanks,terima kasih
pendek,singkat
prestasi,pencapaian
tkt,tingkat
wni,warga negara indonesia
menyajikan,menampilkan
group,kelompok
ngantri,mengantre
mukanya,wajahnya
tuk,untuk
profilku,profil saya
ntar,nanti
suatu,sebuah
kalangan,golongan
morality,moralitas
meng,sedang
amrik,amerika
keahlian,kemampuan
inget,ingat
dlm,dalam
gmn,bagaimana
tolong,mohon bantu
dimana,di mana
ngerugiin,merugikan
agen,perwakilan
mengganggu,mengusik
mengakhiri,menyudahi
isn,inisial
ngehindari,menghindari
filipina,filipina
udel,pusar
digit,angka
pr,pekerjaan rumah
warlok,warga lokal
buset,astaga
dpt,dapat
wamen,wakil menteri
pindakan,perpindahan
belakangan,akhir akhir ini
berantem,bertengkar
bagaikan,seperti
kaburnya,pelariannya
pen,pena
ngepas,pas sekali
didominasi,dikuasai
did,telah
doctor,dokter
tunjangan,bantuan
privasi,kerahasiaan
menjunjung,menghormati
sial,kurang beruntung
idiom,ungkapan
sebuah,suatu
pertengahan,tengah
jurus,strategi
rekamannya,hasil rekaman
sosmed,media sosial
disingkirkan,dikeluarkan
switzerland,swiss
hak,kebebasan
faktanya,kenyataannya
jilid,bagian
siniiiii,sini
csrank,peringkat kampus
fomo,takut ketinggalan
kurang,tidak cukup
sebut,katakan
penjahat,pelaku kejahatan
𝘼𝙙𝙖,ada
pun,juga
elok,indah
masalhnya,masalahnya
hashtag,tagar
melalui,lewat
napi,narapidana
sawo,warna sawo matang
expect,mengharapkan
sns,media sosial
pusing,bingung
iykyk,kalau tahu ya tahu
tulis,catat
opportunity,kesempatan
akhirat,kehidupan akhir
work,kerja
kementerian,lembaga pemerintah
assessment,penilaian
kacau,berantakan
ordal,orang dalam
good,baik
supaya,agar
maskapai,perusahaan penerbangan
buzzer,penggaung opini
lambat,pelan
silaturahmi,hubungan baik
isekai,dunia lain
hukum,peraturan
skrng,sekarang
hati,perasaan
dikasitau,diberi tahu
kelakuan,tingkah laku
diasporanya,komunitas perantau
marah,emosi
sebab,alasan
temenku,teman saya
ginian,hal seperti ini
tegas,keras
politis,berbau politik
jagain,menjaga
ehh,eh
worth,berharga
diperdaya,dibohongi
kebijakan,aturan
u,kamu
lusa,dua hari lagi
aparat,petugas
z,generasi z
jepun,jepang
mengakui,mengiyakan
dimasa,di masa
mumet,pusing
jahiliah,masa kebodohan
gan,kawan
spill,ungkapkan
introduction,perkenalan
mantau,memantau
bangunan,gedung
biasa,lumrah
pikirannya,pemikirannya
seminar,lokakarya
eek,buang air besar
ngaruh,berpengaruh
ditutupi,disembunyikan
oiya,oh iya
ahli,pakar
seseorang,individu
when,ketika
oplas,operasi plastik
gara,karena
pertemanan,persahabatan
audio,suara
menaikkan,meningkatkan
salary,gaji
perbankan,industri bank
serikat,perkumpulan
cut,potong
dkp,Dinas Kelautan dan Perikanan
ppsi,Persatuan Pencak Silat Indonesia
indonesian,indonesia
polri,Kepolisian Negara Republik Indonesia
job,pekerjaan
jumpshot,lemparan lompat
siriknyaaaaa,iri sekali
gk,tidak
kannnn,kan
maraknya,meningkatnya
nggak,tidak
bedil,senjata
pln,perusahaan listrik negara
campaign,kampanye
jg,juga
ville,kota
digowo,dibawa
sebanyak,sejumlah
noh,itu
anying,anjing
pasang,memasang
tanda,simbol
discount,diskon
backward,terbelakang
nyebar,menyebar
galau,bingung
marut,acak acakan
23yo,usia 23 tahun
konoha,indonesia
menemukan,mendapati
mustinya,seharusnya
waah,wah
kahh,kah
komen,komentar
iriiii,iri
menuju,ke arah
asupan,konsumsi
got,mendapat
acc,disetujui
website,situs web
cakep,bagus
improvementnya,peningkatannya
dr,dari
version,versi
mskanya,makanya
power,kekuatan
tidings,berita
wisata,pariwisata
narsumber,narasumber
bali,bali
minwon,minwon
ri,republik indonesia
dinaturalisasi,diubah kewarganegaraan
is,adalah
prof,profesor
pemberlakuan,penerapan
itali,italia
kang,mas
kk,kartu keluarga
serem,menakutkan
calo,perantara ilegal
cukai,pajak
card,kartu
agamanya,keyakinannya
pernikahan,perkawinan
sesirik,seiri
nakes,tenaga kesehatan
dong,ya
culas,licik
atasi,tangani
km,kilometer
kriminalitas,kejahatan
nyiapin,mempersiapkan
amat,sangat
pedo,pedofilia
nuraninya,hati nurani
cuan,keuntungan
tonggo,tetangga
sdm,sumber daya manusia
dilaporin,dilaporkan
bener²,benar benar
asli,orisinil
perkiraan,prediksi
tinggalnya,tempat tinggal
nemuin,menemukan
cuma,hanya
pikir,renungkan
menikmati,merasakan
ketir,gelisah
norak,kampungan
temanku,teman saya
sedapnye,enaknya
sharing,berbagi
𝗦𝗢𝗥𝗘,sore
gercep,gerak cepat
permit,izin
popmie,mi instan
doesn,tidak
bner,benar
barengin,menyertakan
ai,kecerdasan buatan
cocoklah,cocok
hedeh,aduh
ilangin,hilangkan
qena,kena
2nd,kedua
manaaa,mana
ultah,ulang tahun
dikasih,diberi
wa,whatsapp
seakan,seolah
hit,populer
moment,momen
pppk,Pegawai Pemerintah dengan Perjanjian Kerja
cepet,cepat
dibarter,ditukar
dubes,duta besar
livingnya,biaya hidup
ohh,oh
sing,yang
bergaung,terdengar
pas,saat
kerjaa,kerja
nyoba,mencoba
g,tidak
gapapa,tidak apa-apa
kangen,rindu
ngk,tidak
800mili,mililiter
suruh,menyuruh
berspa,spa
beler,linglung
ko,kok
anyone,siapa pun
ketok,ketuk
pm,pesan pribadi
ihh,ih
80an,tahun 80an
suffocating,mencekik
bukber,buka bersama
pildun,piala dunia
males,malas
reallll,sungguh
iyaa,iya
soo,jadi
made,dibuat
50rb,ribu
ps,catatan tambahan
gi,pergi
gegara,gara gara
one,satu
an,sebuah
no,tidak
make,menggunakan
uneducated,tidak terdidik
oke,baik
really,benar benar
workshop,lokakarya
kelabakan,kewalahan
ngemis,mengemis
ngetiknya,mengetiknya
ditilep,disembunyikan
hancur,hancur
loker,lowongan kerja
madinah,madinah
karna,karena
sandwich,roti lapis
selelah,setelah
it,teknologi informasi
ketamakan,keserakahan
ampasnya,sisa sisanya
kalopun,kalaupun
bahlul,bodoh
btul,betul
perlusok,pelosok
pondo,pondok
preparation,persiapan
ks,kepala staf
horeee,hore
disana,di sana
yaudah,ya sudah
arzt,dokter
nutup,menutup
ehhh,eh
kab,kabupaten
income,pendapatan
ngadain,mengadakan
offline,luring
tonggoku,tetanggaku
am,jam
itupun,itu pun
allahh,allah
anyway,bagaimanapun
duta,duta
balance,saldo
tandingin,bertanding
disamping,di samping
baikk,baik
ending,akhir
kini,sekarang
have,punya
timnas,tim nasional
pny,punya
bosen,bosan
ge,ya
nihojin,orang jepang
hti,Hizbut Tahrir Indonesia
korbannya,korban
memperdaya,memperdaya
beririsan,beririsan
ngetik,mengetik
milih,memilih
challenge,tantangan
krn,karena
dikira,dianggap
pls,tolong
mguenggg,menggemparkan
dann,dan
permanent,permanen
sejati,sejati
yukk,ayo
take,ambil
ngereles,menghindar
teraerah,terarah
graphic,grafis
belah,belah
firaun,firaun
bingung,bingung
kesulitan,kesulitan
this,ini
atur,atur
prosesss,proses
temen2nya,temannya
london,london
iso,bisa
ngerti,mengerti
apalagi,apalagi
bekerja,bekerja
ulah,jangan
denger,dengar
gobloknya,bodohnya
negara²,negara-negara
persentaseku,persentaseku
terjamin,terjamin
sirik,iri hati
gaji,gaji
pilu,sedih
naik,naik
kalik,mungkin
jirrr,ya ampun
sedap,enak
government,pemerintah
share,bagikan
first,pertama
nihongo,bahasa jepang
ono,ada
bole,boleh
dipermasalahkan,dipermasalahkan
taun,tahun
msh,masih
sma,sekolah menengah akhir
lahhh,lah
struick,hantam
gitu,begitu
ndut,gemuk
nyokap,ibu
ngerasain,merasakan
backgroundnya,latar belakangnya
all,semua
crab,kepiting
meres,memeras
ngekang,mengikat
mama,ibu
ataupun,atau pun
ksad,Kepala Staf Angkatan Darat
cenblu,centang biru
syukron,terima kasih
𝘾𝘼,ca
kayak,seperti
udah,sudah
please,tolong
hoiii,hai
person,orang
membernya,anggota
mostly,kebanyakan
kelak,nanti
movement,gerakan
diluar,di luar
bule,orang asing
like,suka
dpr,dewan perwakilan rakyat
migran,imigran
keinget,teringat
eksplor,menjelajah
dicek,diperiksa
dibutuhin,dibutuhkan
tiktok,media sosial
𝙡𝙤𝙝,loh
usahaaaaa,usahakan
family,keluarga
dipraktekkan,dipraktikkan
roots,akar
tamatlah,selesai
ayoklah,ayo lah
sebutin,sebutkan
happy,bahagia
pemilu,pemilihan umum
kemaren,kemarin
biggest,terbesar
post,posting
korsel,korea selatan
bkn,bukan
info,informasi
pinjol,pinjaman online
saku,dompet
m,meter
ato,atau
drills,latihan
maaci,terima kasih
jepang,jepang
apply,melamar
abissss,habis
pleciden,presiden
keluarin,keluarkan
pns,pekerja negeri sipil
complain,keluhan
kr,karena
kepengaruh,terpengaruh
sangu,bekal
plis,tolong
bertambahlah,bertambah
semuaa,semua
negaea,negara
ticket,tiket
ikhtiar,usaha
nyaris,hampir
kebali,ke bali
ngajuin,mengajukan
realita,kenyataan
berkarir,berkarir
ormas,organisasi masyarakat
usah,usaha
out,keluar
pake,pakai
ora,tidak
maatsen,maaf
penegakan,penegakan
bawain,membawa
nekat,nekat
ngeliat,melihat
acting,berakting
gass,gas
worse,lebih buruk
ara,arah
at,di
ngikutin,mengikuti
anakkecuali,anak kecuali
seems,terlihat
resah,gelisah
damage,kerusakan
mahhh,sangat
teamnya,timnya
kupas,membahas
500k,lima ratus ribu
england,inggris
hello,halo
batch,angkatan
kita,kita
invasi,invasi
yutuber,youtuber
nggah,naik
pram,pramuka
kouta,kuota
insert,masukkan
layak,layak
ngembat,mengambil
wibu,penggemar anime
melokal,berasal dari lokal
pemilunya,pemilihan umum
kumpulin,mengumpulkan
kalen,kawan
gacor,aktif
ugal,ceroboh
imingi,mengiming imingi
gur,guru
dahlah,sudah
arent,bukan
planning,perencanaan
private,pribadi
setanah,sepetak
ku,aku
om,paman
kl,kalau
india,india
germany,jerman
solving,menyelesaikan
usa,amerika
barter,tukar
destinasi,tujuan
rakyatnya,rakyatnya
yahh,ya
gpp,tidak apa apa
yakan,kan
soroti,menyoroti
ngegelembung,menggelembung
hamdalah,alhamdulillah
6triliun,enam triliun
kelen,kalian
asih,kasih
ireland,irlandia
bonus,bonus
netijen,netizen
kedepan,ke depan
flexing,pamer
ambang,ambang
masalah,masalah
digebukin,dipukuli
smgt,semangat
digelar,diselenggarakan
on,aktif
melawan,melawan
rungkad,rusak
guyss,teman teman
semuanya,semua
mending,lebih baik
smga,semoga
scholarship,beasiswa
rame,ramai
temen²,teman teman
bang,abang
yall,kalian
are,adalah
kebobrokan,kerusakan
stanza,bagian
gosipin,menggosipkan
fix,pasti
pindaaaah,pindah
tauladan,teladan
country,negara
software,perangkat lunak
bunuh2in,membunuh
vs,melawan
previlage,hak istimewa
bbrp,beberapa
only,hanya
getting,mendapatkan
resto,restoran
molor,terlambat
gendut,gemuk
dl,dulu
teacher,guru
he,dia
livenyaaa,sesi live
egk,enggak
plus,tambahan
support,dukungan
yah,ya
ust,ustaz
bei,bursa efek indonesia
huft,kesal
insta,instagram
ngewar,berdebat
ttww,tunggu tunggu
birocrot,birokrat
worried,khawatir
enih,ini
gaenak,tidak enak
alien,makhluk asing
x,media sosial
bfd,masalah besar
smowggaa,semoga
bhs,bahasa
distribute,mendistribusikan
t,itu
bumen,ibu
ngedebat,berdebat
muter,berputar
kangennn,rindu
dm,pesan langsung
adalagi,ada lagi
ky,kayak
scam,penipuan
twtnya,twitternya
munculin,memunculkan
ngikut,mengikuti
pasfoto,pas foto
yh,ya
certified,bersertifikat
riweh,ribet
wakilkan,wakilkan
tuh,itu
for,untuk
us,amerika serikat
ngamuk,marah
wowo,prabowo
nyalahin,menyalahkan
dms,pesan langsung
minggat,kabur
with,dengan
patutlah,pantas
ngalahin,mengalahkan
ngisi,mengisi
dek,adik
nikah,menikah
baguslah,bagus
bgtt,banget
free,gratis
random,acak
kerjaannya,pekerjaannya
diroasting,dihina lucu
𝘼𝙥𝙖𝙖𝙣,apaan
hr,hari
block,blokir
gajelas,tidak jelas
meanwhile,sementara itu
sedang,sedang
gendruwo,gendruwo
nugas,menyelesaikan tugas
ditangkap,ditahan
bandarnya,pengedarnya
kebablasan,berlebihan
pastiin,pastikan
aun,daun
deserve,layak
outputnya,hasilnya
ausbildung,pelatihan
apakabaarrr,apa kabar
lohh,loh
nganggur,menganggur
wamil,wajib militer
sepuh,orang tua
diaspora,diaspora
abaang,abang
sengaja,sengaja
grenada,grenada
jokowi,jokowi
offer,penawaran
bidiin,bikin
ngeri,menyeramkan
yes,ya
grgr,gara gara
naro,menaruh
semangattt,semangat
tunawisma,tunawisma
adain,mengadakan
tgl,tanggal
anggap,menganggap
berhasil,berhasil
pasar,pasar
marketing,pemasaran
dikuatkan,diperkuat
artikel,artikel
gadeng,gandeng
ditinggal,ditinggalkan
dikendalikan,dikendalikan
mumpungnya,mumpung
kejatuhan,terjatuh
sold,terjual
kalkulator,kalkulator
masuknya,masuknya
reda,mereda
vacation,liburan
1by1,satu per satu
keatas,ke atas
curiga,mencurigai
gilaa,gila
akar,akar
peruntungan,keberuntungan
deras,deras
dikalikan,dikalikan
nanem,menanam
treak,teriak
capek,lelah
suka,suka
leste,timor leste
kompleks,kompleks
gih,silakan
bangun,bangun
ketaker,terukur
upgrade,tingkatkan
cobain,mencoba
pov,sudut pandang
efisiensi,efisiensi
membuatmu,membuat kamu
sense,indra
seru,seru
terserap,terserap
soal,soal
yuuuk,ayo
humanity,kemanusiaan
khawatir,khawatir
cetta,jelas
ngusir,mengusir
1liter,satu liter
pendapatmu,pendapat kamu
barak,barak
saved,tersimpan
𝙂𝙄𝙑𝙀𝘼𝙒𝘼𝙔,bagi bagi
brok,bangkrut
ogah,enggan
tempting,menggoda
dedikasikan,mendedikasikan
sembari,sambil
disusupi,disusupi
ekspektasikan,harapkan
laun,perlahan
indo,indonesia
peduli,peduli
komplek,kompleks
wn,warga negara
kemanusiaan,kemanusiaan
new,baru
bandung,bandung
soale,soalnya
pemkot,pemerintah kota
designer,perancang
nanti,nanti
effort,usaha
dijegal,dihalang-halangi
pembatasan,pembatasan
pertimbangan,pertimbangan
haus,haus
riset,penelitian
jastip,jasa titip
rezim,rezim
pip,program indonesia pintar
ngemeng,berbicara
mendukung,mendukung
sp,surat peringatan
emas,emas
pembebasan,pembebasan
meninggalkan,meninggalkan
tb²,tuberculosis
cus,pergi
idup,hidup
pisangnya,pisangnya
berarti,berarti
ulang,ulang
cabut,pergi
include,termasuk
kasad,kepala staf angkatan darat
congratulation,selamat
serve,melayani
persentase,persentase
hasil,hasil
cuman,hanya
langkahnya,langkahnya
apakah,apakah
kelakuannya,tingkah lakunya
reading,membaca
koruptor,koruptor
orang,orang
gampang,mudah
diiiih,duh
mimpinya,mimpinya
felix,felix
esensial,penting
pemerintahan,pemerintahan
become,menjadi
pastinya,tentu saja
bekal,bekal
omagaaaa,ya ampun
liberal,liberal
anjing,anjing
terutama,terutama
nabi,nabi
aruna,aruna
demokratis,demokratis
urusannya,urusannya
pejabat,pejabat
taklukin,menaklukkan
pertamina,pertamina
langit,langit
judol,judul
kerja,kerja
jawa,jawa
meruntuhkan,meruntuhkan
suriah,suriah
nyoblos,memilih
respoting,redistribusi
omon,omon
penikmat,penikmat
menggantikan,menggantikan
outside,luar
ketulung,ketolong
lulusan,lulusan
smp,sekolah menengah pertama
by,oleh
c,c
pengajar,pengajar
mie,mi
reward,hadiah
utk,untuk
pasti,pasti
tsk,tersangka
thailand,thailand
pengennya,ingin
mengubahnya,mengubahnya
dibayarkan,dibayarkan
siap,siap
enak,lezat
kebal,kebal
helicopter,helikopter
rent,sewa
kebayang,terbayang
barusan,tadi
drpd,daripada
tetep,tetap
rangorang,orang orang
gais,teman
mempan,terpengaruh
gantinya,penggantinya
pemicu,penyebab
gua,saya
hmm,hmm
separuh,setengah
pembesar,pejabat
nyalip,menyalip
pokoknya,intinya
terusss,terus
dikuasai,dikendalikan
wahai,hai
emak²,ibuibu
rebuuuu,rabu
pgn,ingin
dicecar,didesak
begging,memohon
trending,sedang tren
hehhee,hehe
bray,teman
patungan,iuran bersama
dimarahin,dimarahi
entahlah,tidak tahu
kira²,sekitar
krasan,betah
tag,menandai
ss,tangkapan layar
skip,lewati
gada,tidak ada
feels,perasaan
gengmu,kelompokmu
walah,aduh
diapakai,dipakai
carut,kacau
ikutan,ikut
maap,maaf
bljr,belajar
ex,mantan
tp,tapi
engga,tidak
mba,mbak
gausa,tidak usah
blom,belum
segan,malu
citaku,cita citaku
begitulah,seperti itu
rang,orang
ngerjain,mengerjakan
dor,tembak
yaallah,ya allah
indon,indonesia
bg,abang
reals,nyata
jpn,jepang
ghibah,menggunjing
rill,nyata
bewanyok,bapakmu
ngubah,mengubah
yach,ya
dikehidupan,dalam kehidupan
persulit,mempersulit
bedain,membedakan
manjain,memanjakan
ukt,uang kuliah tunggal
demotivasinya,hilangnya motivasi
otw,sedang dalam perjalanan
jackpot,menang besar
cm,cuma
dicegah,dihindari
san,kak
fathu,pembuka
yakitori,sate jepang
gas,ayo
terseksa,tersiksa
mreka,mereka
hikssssss,sedih
banh,bang
gaskeun,lanjutkan
siih,sih
eh,eh
stress,stres
nih,ini
dzolim,zalim
nah,jadi
penghisap,perokok
hestek,tagar
walopun,walaupun
difitnah,dijelekkan
sonoan,kesana
huhuu,menangis
the,itu
dibarengi,disertai
petinggu,pejabat tinggi
dikangenin,dirindukan
ln,luar negeri
dom,domestik
companies,perusahaan
fokusku,fokus saya
ketar,gemetar
mmh,hmm
sebenernya,sebenarnya
biarin,biarkan
uuu,uhh
bestie,sahabat
dafat,daftar
yaa,ya
thought,pemikiran
lm,lama
hastag,tagar
ngecounter,menanggapi
dll,dan lainlain
𝗚𝗜𝗩𝗘𝗔𝗪𝗔𝗬,bagi bagi
hesteg,tagar
dirasa,terasa
mcm,macam
imbasnua,imbasnya
nanggung,tidak maksimal
dipake,digunakan
njir,anjir
mrk,mereka
ngepel,mengepel
ayy,hai
balin,bali
ah,ah
bsa,bisa
kocyagg,kocak
life,hidup
ilang,hilang
rip,istirahat dalam damai
cwo,cowok
disekitaran,sekitar
ekslusif,eksklusif
hahahhahahha,tertawa
jd,jadi
nnti,nanti
ditanyain,ditanya
kek,seperti
digrebek,digerebek
alloh,allah
gedein,besarkan
foreigner,orang asing
laaah,lah
subversif,menghasut
berlagak,sombong
niru,meniru
masi,masih
ikut2an,ikut ikutan
kbr,kabar
point,poin
sodara,saudara
hawwoh,astaga
ngehina,menghina
jujurly,jujur
get,dapat
bener,benar
kakk,kakak
nebeng,menumpang
tetiba,tiba tiba
talk,bicara
gaksi,tidak bisa
kitts,kit
semangatin,memberi semangat
diginiin,diperlakukan begini
ma,mama
ngajak,mengajak
aduh,duh
kerenn,keren
pd,pada
satset,cepat
abroad,luar negeri
honest,jujur
sea,laut
ni,ini
pendengki,iri hati
now,sekarang
broooo,bro
bibik,asisten rumah tangga
ka,kak
jingannn,jangan
buruann,buruan
gwe,gue
anjlok,turun drastis
ujan,hujan
bule²,bule
jurdil,jujur dan adil
dah,sudah
bs,bisa
kayaknya,sepertinya
mahluk,makhluk
ngarang,mengarang
anjir,astaga
thr,tunjangan hari raya
diminta,dimohon
lele,ikan lele
aga,agak
skil,keahlian
jgn,jangan
pg,pagi
bizdeyy,hari ulang tahun
kencing,buang air kecil
oknumnya,pelakunya
mendan,komandan
tehh,teh
paksu,suami
sempoa,alat hitung
cyduk,terciduk
amp,dan
kumpul²,berkumpul
中国,tiongkok
lhoh,lho
doang,saja
doaremon,doraemon
moots,teman online
bnyak,banyak
jt,juta
gub,gubernur
web,situs web
sbg,sebagai
prepare,siapkan
kedapetan,kedapatan
faang,perusahaan teknologi besar
____,tidak diketahui
dicariin,dicari
or,atau
semena,semena mena
bruh,bro
pemerenta,pemerintah
laah,lah
alamak,astaga
kepenuhan,kelebihan
ngadu,mengadu
cewe,perempuan
wfh,kerja dari rumah
omo,oh my god
gila2an,ekstrem
cenblunya,sungguh
nyesel,menyesal
waduuw,waduh
baeeeee,saja
ngerasa,merasa
po,kah
ngopi,minum kopi
bejir,sangat
melu,ikut
jdi,jadi
adili,mengadili
lebir,lebih
mudahin,memudahkan
si,dia
wes,sudah
raffi,nama orang
skrg,sekarang
yee,ya
gasuka,tidak suka
teu,tidak
guys,teman-teman
sm,sama
tkutnya,takutnya
inimah,ini mah
cape,lelah
ngumpulin,mengumpulkan
semestinya,seharusnya
kampungan,norak
ayok,ayo
ditawarin,ditawari
ngide,berpikir aneh
hapus,hilangkan
jalannya,perjalanannya
gajinya,penghasilannya
ngantor,bekerja di kantor
nggih,ya
ajaaahhh,saja
wkkwkwk,tertawa
mati2an,mati-matian
dipikir,dipertimbangkan
pengen,ingin
sinting,gila
ciii,cih
nyengir,tersenyum
nyinyir,mengejek
brengsek,jahat
nihhhhh,ini
ajakin,ajak
coy,teman
dehh,deh
ngguh,ya
loh,lho
fir,nama
byr,bayar
ngambil,mengambil
ngindarin,menghindari
ngepel,mengepel
kepiting,kepiting
keburu,terlambat
mentok,terhenti
der,dan lain-lain
ngegas,emosi
dky,tidak tahu
kmn,ke mana
kmanaaa,ke mana
ajaah,saja
udah,sudah
mmm,hmm
diapproach,didekati
sensei,guru
ilehal,ilegal
ngetwit,menulis di twitter
kataku,menurut saya
sbgi,sebagai
abah,ayah
jobstreet,situs lowongan kerja
nawarin,menawarkan
s,sih
senderny,pengirimnya
pejabrut,pejabat brutal
kene,sini
ceritain,ceritakan
diaana,di mana
gugur,meninggal
ugalan,ugal-ugalan
hyunsungers,penggemar hyunsung
cek,periksa
memantapkan,meyakinkan
pegang,memegang
bekali,dibekali
cit,warga negara
yap,ya
moving,pindah
homofobik,benci lgbt
janjian,berjanji
nabung,menabung
dsana,di sana
eiran,iran
usahaku,usaha saya
diinget²,diingat-ingat
